Skill,Sources
Statistical Theory,Book: Mathematical Statistics; Course: Statistical Inference (Coursera); Course: Probability and Statistics (edX); Doc: Wolfram MathWorld; YouTube: 3Blue1Brown
Stored Procedures,Book: T-SQL Fundamentals; Course: Advanced SQL (Udemy); Course: Database Management (Coursera); Doc: Microsoft SQL Server Docs; YouTube: Programming with Mosh
Strategic KPI Tracking,Book: Key Performance Indicators; Course: Business Metrics (Coursera); Course: KPI Management (Udemy); Doc: Bernard Marr's KPI Library; YouTube: Bernard Marr
Strategic Partnership Building,Book: Partnership Marketing; Course: Business Development (Coursera); Course: Strategic Partnerships (Udemy); Doc: Forbes Strategy; YouTube: Harvard Business School
Strategic Planning,"Book: Good Strategy, Bad Strategy; Course: Strategic Management (Coursera); Course: Strategic Planning (Udemy); Doc: McKinsey Insights; YouTube: The Strategy Institute"
Strategic Roadmapping,Book: Product Roadmaps Relaunched; Course: Product Management (Coursera); Course: Strategic Roadmapping (Udemy); Doc: Atlassian Roadmap Guide; YouTube: Product School
Strength Testing,Book: Mechanics of Materials; Course: Materials Science (Coursera); Course: Structural Testing (Udemy); Doc: ASTM Testing Standards; YouTube: The Efficient Engineer
Stress Testing,Book: Financial Stress Testing; Course: Risk Management (Coursera); Course: Software Stress Testing (Udemy); Doc: NIST Stress Testing Guides; YouTube: Simply Cyber
Structural Analysis,Book: Structural Analysis (Hibbeler); Course: Structural Engineering (Coursera); Course: Advanced Structures (Udemy); Doc: American Institute of Steel Construction; YouTube: The Efficient Engineer
Structural Integrity,Book: Structural Integrity of Aerospace Materials; Course: Reliability Engineering (Coursera); Course: Structural Safety (Udemy); Doc: NASA Structural Standards; YouTube: Engineering Mindset
Structural Materials,Book: Materials Science and Engineering; Course: Introduction to Materials (Coursera); Course: Construction Materials (Udemy); Doc: ASM International; YouTube: The Efficient Engineer
Structural Mechanics,Book: Structural Mechanics (Williams); Course: Structural Mechanics Specialization (Coursera); Course: Mechanical Engineering (edX); Doc: IEEE Structural Systems; YouTube: The Engineering Mindset
Structural Safety,Book: Structural Safety and Reliability; Course: Building Codes (Udemy); Course: Construction Safety (Coursera); Doc: OSHA Safety Standards; YouTube: Safety First
Structural Simulation,Book: Finite Element Analysis; Course: Structural Simulation with Ansys (Udemy); Course: Simulation in Engineering (Coursera); Doc: Ansys Help Center; YouTube: SimScale
Substation Design,Book: Electric Power Substations Engineering; Course: Power Systems (Coursera); Course: Substation Design (Udemy); Doc: IEEE Power & Energy Society; YouTube: Engineering Mindset
Supply Chain,Book: Supply Chain Management (Chopra); Course: Supply Chain Specialization (Coursera); Course: Logistics and Supply Chain (Udemy); Doc: ASCM (APICS); YouTube: The Logistics of Logistics
Supply Chain Management,Book: Essentials of Supply Chain Management; Course: Supply Chain Principles (Coursera); Course: Operations and Supply Chain (Udemy); Doc: Supply Chain Council; YouTube: Logistics Bureau
Supply Chain Optimization,Book: Supply Chain Network Design; Course: Supply Chain Analytics (Coursera); Course: Optimization in Supply Chain (Udemy); Doc: Gartner Supply Chain; YouTube: Supply Chain Now
Supply Chain Risk,Book: Supply Chain Risk Management; Course: Risk in Supply Chains (Coursera); Course: Supply Chain Resilience (Udemy); Doc: ISO 28000 Standards; YouTube: Chain Reaction
Sustainability,Book: The Sustainability Secret; Course: Introduction to Sustainability (Coursera); Course: Sustainable Development (Udemy); Doc: UN Sustainability Goals; YouTube: Sustainability Illustrated
Sustainability Analysis,Book: Sustainability Analysis (Bell); Course: ESG Analysis (Coursera); Course: Environmental Analysis (Udemy); Doc: GRI Standards; YouTube: Climate Town
Sustainability Metrics,Book: Measuring Sustainability; Course: Sustainability Reporting (Coursera); Course: ESG Metrics (Udemy); Doc: SASB Standards; YouTube: Sustainability Academy
Sustainable Design,Book: Cradle to Cradle; Course: Sustainable Design Foundations (Coursera); Course: Green Building (Udemy); Doc: USGBC LEED Guide; YouTube: The Futur
Sustainable Forestry,Book: The Hidden Life of Trees; Course: Forest Management (Coursera); Course: Sustainable Forestry (Udemy); Doc: Forest Stewardship Council (FSC); YouTube: National Geographic
Sustainable Packaging,Book: Sustainable Packaging; Course: Packaging Design (Udemy); Course: Circular Economy (Coursera); Doc: Sustainable Packaging Coalition; YouTube: The Packaging School
Sustainable Sourcing,Book: Sustainable Sourcing; Course: Supply Chain Sourcing (Coursera); Course: Ethical Sourcing (Udemy); Doc: Fair Trade International; YouTube: Supply Chain Management
Swift,Book: Swift Programming: The Big Nerd Ranch Guide; Course: iOS Development with Swift (Coursera); Course: Swift Masterclass (Udemy); Doc: Swift.org; YouTube: Sean Allen
Switchgear Design,Book: Switchgear and Protection; Course: Electrical Power Systems (Coursera); Course: Medium Voltage Switchgear (Udemy); Doc: ABB Technical Library; YouTube: Engineering Mindset
Switching Systems,Book: Telecommunication Switching Systems; Course: Network Engineering (Coursera); Course: Switching and Routing (Udemy); Doc: Cisco Learning Network; YouTube: NetworkChuck
Synthetic Design,Book: Strategic Thinking in Synthetic Biology; Course: Synthetic Biology (Coursera); Course: Genetic Design (Udemy); Doc: Synthetic Biology Project; YouTube: Kurzgesagt
System Analysis,Book: System Analysis and Design; Course: Systems Engineering (Coursera); Course: Business System Analysis (Udemy); Doc: INCOSE Systems Engineering; YouTube: The Engineering Mindset
System Calibration,Book: The Calibration Handbook; Course: Metrology and Calibration (Udemy); Course: Measurement Science (Coursera); Doc: NIST Calibration Services; YouTube: Mitutoyo America
System Integration,Book: Enterprise Integration Patterns; Course: Systems Integration (Coursera); Course: Integration Strategy (Udemy); Doc: Microsoft Azure Integration; YouTube: TechWorld with Nana
System Modeling,Book: System Modeling and Simulation; Course: Mathematical Modeling (Coursera); Course: System Dynamics (Udemy); Doc: SimScale Help; YouTube: Steve Brunton
System Scalability,Book: The Art of Scalability; Course: Designing Scalable Systems (Coursera); Course: Cloud Scalability (Udemy); Doc: AWS Scalability Whitepaper; YouTube: System Design Interview
System Testing,Book: The Art of Software Testing; Course: Software Testing Specialization (Coursera); Course: Quality Assurance (Udemy); Doc: ISTQB.org; YouTube: The Testing Academy
Systems Engineering,Book: Systems Engineering Handbook; Course: Systems Thinking (Coursera); Course: Systems Engineering Foundations (Udemy); Doc: INCOSE.org; YouTube: The Engineering Mindset
T-SQL,Book: T-SQL Fundamentals; Course: SQL Server Masterclass (Udemy); Course: Relational Databases (Coursera); Doc: Microsoft SQL Server Docs; YouTube: Programming with Mosh
TCP/IP Protocols,Book: TCP/IP Illustrated; Course: Computer Communications (Coursera); Course: Network Protocols (Udemy); Doc: IETF RFCs; YouTube: Computerphile
Tariff Management,Book: Tariff Management and Policy; Course: International Trade (Coursera); Course: Import/Export Compliance (Udemy); Doc: World Customs Organization; YouTube: Logistics of Logistics
Team Leadership,Book: Leaders Eat Last; Course: Team Leadership Specialization (Coursera); Course: Management Masterclass (Udemy); Doc: Harvard Business Review; YouTube: Simon Sinek
Team Mentorship,Book: The Mentor's Guide; Course: Mentorship and Coaching (Coursera); Course: Effective Leadership (Udemy); Doc: Association for Talent Development; YouTube: Mel Robbins
Tech Product Knowledge,Book: The Product Book; Course: Product Management (Coursera); Course: Tech for Non-Techies (Udemy); Doc: Product School Blog; YouTube: Product School
Technical Auditing,Book: Technical Auditing: A Guide; Course: Internal Auditing (Coursera); Course: Quality Auditing (Udemy); Doc: ISO Audit Guidelines; YouTube: Internal Audit Guy
Technical Blueprints,Book: Blueprints and Plans; Course: Blueprint Reading (Udemy); Course: Construction Documentation (Coursera); Doc: ANSI Drafting Standards; YouTube: Construction Drawings 101
Technical Consulting,Book: The Trusted Advisor; Course: Management Consulting (Coursera); Course: Tech Consulting (Udemy); Doc: McKinsey Digital; YouTube: Firm Learning
Technical Documentation,Book: Technical Writing Process; Course: Technical Writing (Coursera); Course: Documentation Mastery (Udemy); Doc: Write the Docs; YouTube: Google Technical Writing
Technical Drawing,Book: Engineering Drawing and Design; Course: Technical Drawing Foundations (Udemy); Course: CAD Design (Coursera); Doc: Autodesk Engineering Drawing; YouTube: The Efficient Engineer
Technical Leadership,Book: The Manager's Path; Course: Engineering Leadership (Coursera); Course: Leading Technical Teams (Udemy); Doc: LeadDev Resources; YouTube: Simon Sinek
Technical Optimization,Book: Site Reliability Engineering; Course: Performance Optimization (Coursera); Course: Systems Optimization (Udemy); Doc: Google SRE Book; YouTube: TechWorld with Nana
Technical Presentations,Book: Presentation Zen; Course: Technical Presentations (Coursera); Course: Public Speaking for Tech (Udemy); Doc: Toastmasters International; YouTube: The Futur
Technical Requirements Analysis,Book: Software Requirements; Course: Business Analysis Specialization (Coursera); Course: Requirements Engineering (Udemy); Doc: IIBA BABOK Guide; YouTube: Bridging the Gap
Technical Sales Strategy,Book: The Sales Engineer's Handbook; Course: Technical Sales (Coursera); Course: Strategic Sales (Udemy); Doc: Gong.io Sales Insights; YouTube: Winning by Design
Technical Specifications,Book: Writing Effective Technical Specs; Course: Technical Writing (Coursera); Course: Product Documentation (Udemy); Doc: Microsoft Learn Docs; YouTube: Google Developers
Technical Support,Book: The Guide to Technical Support; Course: Google IT Support Professional (Coursera); Course: Help Desk Support (Udemy); Doc: Microsoft Support Docs; YouTube: NetworkChuck
Technical Troubleshooting,Book: The Art of Troubleshooting; Course: Troubleshooting Systems (Udemy); Course: IT Support (Coursera); Doc: CompTIA A+ Guides; YouTube: Eli the Computer Guy
Technical Writing,Book: The Elements of Style; Course: Technical Writing Specialization (Coursera); Course: Professional Writing (Udemy); Doc: Google Technical Writing Guide; YouTube: TechWriter
Telemetry Analysis,Book: Telemetry and Observability; Course: Cloud Monitoring (Coursera); Course: Data Analysis (Udemy); Doc: Grafana / Prometheus Docs; YouTube: Data Engineering Academy
Test Case Documentation,Book: Software Testing; Course: Test Case Design (Udemy); Course: Quality Assurance (Coursera); Doc: ISTQB Testing Syllabus; YouTube: The Testing Academy
Thermal Efficiency,Book: Thermal Engineering; Course: Thermodynamics (Coursera); Course: Energy Efficiency (Udemy); Doc: DOE Energy Reports; YouTube: Engineering Mindset
Thermal Management,Book: Thermal Management of Electronics; Course: Heat Transfer (Coursera); Course: Cooling Systems (Udemy); Doc: Intel Thermal Design; YouTube: The Efficient Engineer
Thermal Modeling,Book: Thermal Modeling of Power Electronics; Course: Simulation in Engineering (Coursera); Course: Thermal Simulation (Udemy); Doc: ANSYS Thermal Help; YouTube: SimScale
Thermal Stability,Book: Thermal Stability of Polymers; Course: Materials Science (Coursera); Course: Chemical Engineering (edX); Doc: American Chemical Society; YouTube: The Efficient Engineer
Thermodynamics,Book: Thermodynamics: An Engineering Approach; Course: Introductory Thermodynamics (Coursera); Course: Engineering Physics (Udemy); Doc: NIST Chemistry WebBook; YouTube: The Engineering Mindset
Thin-Film Characterization,Book: Materials Characterization; Course: Nanotechnology (Coursera); Course: Thin Film Physics (edX); Doc: NIST Thin Film Characterization; YouTube: Asianometry
Thin-Film Deposition,Book: The Science and Engineering of Microelectronic Fabrication; Course: Semiconductor Manufacturing (Coursera); Course: Thin Film Deposition (Udemy); Doc: Intel Technology Blog; YouTube: Asianometry
Throughput Optimization,Book: The Goal; Course: Operations Management (Coursera); Course: Process Optimization (Udemy); Doc: Lean Enterprise Institute; YouTube: Gemba Academy
Tissue Engineering,Book: Principles of Tissue Engineering; Course: Biomedical Engineering (Coursera); Course: Introduction to Bioengineering (edX); Doc: NIH Tissue Engineering; YouTube: Bionics Institute
Tourism Trends,Book: Tourism Management; Course: Global Tourism (Coursera); Course: Tourism Trends (Udemy); Doc: UN World Tourism Organization; YouTube: National Geographic
Traffic Flow Simulation,Book: Traffic Flow Theory; Course: Civil Engineering (Coursera); Course: Traffic Engineering (Udemy); Doc: Department of Transportation; YouTube: Practical Engineering
Traffic Modeling,Book: Modeling and Simulation of Traffic; Course: Transportation Systems (edX); Course: Urban Planning (Coursera); Doc: FHWA Traffic Analysis; YouTube: City Beautiful
Training,Book: The Training Design Manual; Course: Instructional Design (Coursera); Course: Effective Training (Udemy); Doc: Association for Talent Development; YouTube: Devlin Peck
Transmission Systems,Book: Electric Power Transmission; Course: Power Systems (Coursera); Course: Transmission Line Design (Udemy); Doc: IEEE Power & Energy Society; YouTube: Engineering Mindset
Tribology,Book: Applied Tribology; Course: Surface Engineering (Coursera); Course: Lubrication and Wear (Udemy); Doc: STLE Resources; YouTube: The Engineering Mindset
Troubleshooting,Book: The Art of Troubleshooting; Course: IT Troubleshooting (Coursera); Course: Problem Solving (Udemy); Doc: Microsoft Support Docs; YouTube: NetworkChuck
Turbine Layout,Book: Wind Energy Explained; Course: Renewable Energy (Coursera); Course: Wind Farm Design (Udemy); Doc: NREL Wind Research; YouTube: Real Engineering
Turbine Operation,Book: Gas Turbine Theory; Course: Renewable Energy Systems (Coursera); Course: Turbine Engineering (Udemy); Doc: GE Gas Turbine Technical Manuals; YouTube: Engineering Mindset
UI Components,Book: Designing Interfaces; Course: UI/UX Specialization (Coursera); Course: Modern UI Design (Udemy); Doc: Material Design / Human Interface Guidelines; YouTube: The Futur
UX Design,Book: Don't Make Me Think; Course: Google UX Design Professional (Coursera); Course: The UX Design Course (Udemy); Doc: Nielsen Norman Group; YouTube: The Futur
Ultra-Precision Machining,Book: Precision Machine Design; Course: Advanced Manufacturing (Udemy); Course: Precision Engineering (Coursera); Doc: NIST Precision Machining; YouTube: Titans of CNC
Unit Testing,Book: Test Driven Development; Course: Software Testing Specialization (Coursera); Course: Unit Testing with JUnit/PyTest (Udemy); Doc: Jest / Mocha / JUnit Documentation; YouTube: Web Dev Simplified
Urban Planning,Book: The Death and Life of Great American Cities; Course: Sustainable Cities (Coursera); Course: Urban Planning and Design (edX); Doc: American Planning Association; YouTube: City Beautiful
Use Case Modeling,Book: Writing Effective Use Cases; Course: Requirements Engineering (Coursera); Course: Software Modeling (Udemy); Doc: Unified Modeling Language (UML) Docs; YouTube: Lucidchart
User Management,Book: Identity and Access Management; Course: Google IT Support (Coursera); Course: Active Directory Management (Udemy); Doc: Microsoft Learn IAM; YouTube: NetworkChuck
User Research,Book: Just Enough Research; Course: User Research and Design (Coursera); Course: UX Research Masterclass (Udemy); Doc: UX Collective; YouTube: Nielsen Norman Group
VHDL/Verilog,Book: Digital Design (VHDL); Course: FPGA Design (Udemy); Course: Digital Logic Design (Coursera); Doc: IEEE 1364 (Verilog) Standard; YouTube: Digitally Lit
VLSI Design,Book: Digital Integrated Circuits: A Design Perspective; Course: VLSI CAD Part I: Design (Coursera); Course: Digital VLSI Design (Udemy); Doc: IEEE Solid-State Circuits Society; YouTube: Asianometry
Validation Protocols,Book: Establishing a Quality Assurance Program; Course: Computer System Validation (Udemy); Course: Quality Management Systems (Coursera); Doc: FDA.gov Validation Guidelines; YouTube: Compliance Online
Validation and Verification (V&V),Book: Verification and Validation in Scientific Computing; Course: Software Testing and Verification (Coursera); Course: V&V in Engineering (edX); Doc: NASA V&V Guidebook; YouTube: The Engineering Mindset
Valve Design,Book: Valve Selection Handbook; Course: Piping and Valve Design (Udemy); Course: Mechanical Engineering (Coursera); Doc: Fisher Valve Handbook (Emerson); YouTube: Engineering Mindset
Vehicle Dynamics,Book: Fundamentals of Vehicle Dynamics (Gillespie); Course: Vehicle Dynamics (edX); Course: Automotive Engineering (Udemy); Doc: SAE International Technical Papers; YouTube: Engineering Explained
Vehicle Performance,Book: Race Car Vehicle Dynamics; Course: Car Mechanics and Performance (Udemy); Course: Hybrid & Electric Vehicles (Coursera); Doc: EPA Vehicle Performance Research; YouTube: Donut Media: Science of Fast
Vendor Management,Book: The Vendor Management Office; Course: Supply Chain Sourcing (Coursera); Course: Strategic Vendor Management (Udemy); Doc: Gartner Vendor Management; YouTube: Supply Chain Now
Vendor Negotiation,Book: Negotiation Genius; Course: Successful Negotiation (Coursera); Course: Strategic Sales and Negotiation (Udemy); Doc: Harvard Program on Negotiation; YouTube: Chris Voss
Vendor Selection,Book: Purchasing and Supply Chain Management; Course: Strategic Sourcing (Coursera); Course: Vendor Selection and Evaluation (Udemy); Doc: CIPS (Chartered Institute of Procurement); YouTube: Logistics of Logistics
Version Control (Git),Book: Pro Git (Scott Chacon); Course: Version Control with Git (Coursera); Course: Git Complete (Udemy); Doc: Git-scm.com Documentation; YouTube: The Net Ninja
Vibration Analysis,Book: Mechanical Vibrations (Rao); Course: Vibration Analysis (Udemy); Course: Dynamics and Control (Coursera); Doc: ISO 18436 Standards; YouTube: Engineering Mindset
Voice Recognition,Book: Speech and Language Processing; Course: Natural Language Processing (Coursera); Course: Speech Recognition with Python (Udemy); Doc: Google Cloud Speech-to-Text Docs; YouTube: Stanford NLP
Vulnerability Assessment,Book: Hacking Exposed; Course: Cybersecurity Specialization (Coursera); Course: Ethical Hacking (Udemy); Doc: OWASP Vulnerability Scanning; YouTube: Simply Cyber
Warehouse Management,Book: Warehouse Management: A Complete Guide; Course: Supply Chain Logistics (Coursera); Course: Warehouse Operations (Udemy); Doc: ASCM (APICS) Resources; YouTube: Logistics Bureau
Waste Management,Book: Solid Waste Engineering; Course: Waste Management (edX); Course: Circular Economy (Coursera); Doc: EPA Waste Management Guides; YouTube: Sustainability Illustrated
Waste-to-Energy,Book: Waste-to-Energy Technologies; Course: Renewable Energy Systems (Coursera); Course: Bioenergy (edX); Doc: Waste-to-Energy Research (NREL); YouTube: Real Engineering
Water Energy,Book: Hydropower Engineering Handbook; Course: Wind and Water Power (Coursera); Course: Renewable Energy (Udemy); Doc: International Hydropower Association; YouTube: Energy 101
Water Purification,Book: Water Quality and Treatment; Course: Water Management (Coursera); Course: Water Treatment Basics (Udemy); Doc: EPA Drinking Water Standards; YouTube: Practical Engineering
Water Treatment,Book: Wastewater Engineering: Treatment and Resource Recovery; Course: Water Treatment Engineering (edX); Course: Industrial Water Treatment (Udemy); Doc: Water Environment Federation; YouTube: The Engineering Mindset
Wave/Wind Energy,Book: Wind Energy Explained; Course: Renewable Energy Specialization (Coursera); Course: Wave Energy Technology (edX); Doc: NREL Wind and Water Research; YouTube: Real Engineering
Web Performance Optimization,Book: High Performance Browser Networking; Course: Website Performance Optimization (Udacity); Course: Page Speed Optimization (Udemy); Doc: Google Web Vitals; YouTube: Web Dev Simplified
Well Management,Book: Oil and Gas Production Handbook; Course: Petroleum Engineering (Coursera); Course: Well Control and Intervention (Udemy); Doc: Society of Petroleum Engineers; YouTube: Energy 101
Wind Resource Assessment,Book: Wind Resource Assessment: A Practical Guide; Course: Wind Energy (Coursera); Course: Renewable Energy Systems (Udemy); Doc: IEA Wind Energy Reports; YouTube: NREL Wind Research
Wind Tunnel Testing,Book: Low-Speed Wind Tunnel Testing; Course: Aerodynamics (Coursera); Course: Experimental Aerodynamics (edX); Doc: NASA Glenn Wind Tunnels; YouTube: Real Engineering
Wireless Protocols (5G/LTE),Book: 5G NR: The Next Generation Wireless Access Technology; Course: 5G Specialization (Coursera); Course: Wireless Networking (Udemy); Doc: 3GPP Specifications; YouTube: IEEE Communications Society
Wood Composites,Book: Wood Composites (Kimberley Low); Course: Materials Science (Coursera); Course: Sustainable Materials (edX); Doc: USDA Forest Products Lab; YouTube: National Geographic
Workflow Analysis,Book: Business Process Mapping; Course: Workflow Management (Coursera); Course: Lean Process Analysis (Udemy); Doc: Lucidchart Workflow Guides; YouTube: Lean Enterprise Institute
Workflow Management,Book: Workflow Modeling; Course: Business Process Management (Coursera); Course: Automation with Zapier (Udemy); Doc: Atlassian Teamwork Guides; YouTube: Keep Productive
Yield Optimization,Book: Operations Management: Optimization; Course: Six Sigma and Yield Management (Coursera); Course: Manufacturing Process Optimization (Udemy); Doc: Lean Six Sigma Institute; YouTube: Gemba Academy
